591	907	1	
942	267	-1	
323	668	-1	
394	757	-1	
110	932	-1	
95	116	1	
721	51	-1	
49	540	-1	
291	530	-1	
181	844	-1	
715	273	-1	
17	620	-1	
247	355	-1	
760	877	1	
351	755	-1	
475	427	-1	
366	942	-1	
131	806	-1	
290	52	-1	
735	206	-1	
928	388	-1	
133	805	-1	
393	517	-1	
39	196	1	
263	939	-1	
662	44	-1	
345	839	-1	
767	944	1	
539	692	1	
61	391	1	
185	431	-1	
474	241	-1	
583	324	-1	
37	104	-1	
429	691	-1	
87	277	-1	
218	256	1	
160	455	-1	
133	1	-1	
982	473	-1	
649	816	1	
229	882	-1	
655	176	-1	
97	672	-1	
896	405	-1	
691	994	1	
685	482	-1	
698	914	1	
107	687	-1	
